1 1 0 1 0 00000000000000000000000000000000 00000000000000000000000000000000 UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU U
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000001110100 00000001011010110101100000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000001111000 00000001100011000110000000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000001111100 00000001101011010110100000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000010000000 00000001110011100111000000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000010000100 00000001111011110111100000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000010001000 00000010000100001000000000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000010001100 00000010001100011000100000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000010010000 00000010010100101001000000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000010010100 00000010011100111001100000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000010011000 00000010100101001010000000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000010011100 00000010101101011010100000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000010100000 00000010110101101011000000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000010100100 00000010111101111011100000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000010101000 00000011000110001100000000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000010101100 00000011001110011100100000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000010110000 00000011010110101101000000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000010110100 00000011011110111101100000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000010111000 00000011100111001110000000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000010111100 00000011101111011110100000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000011000000 00000011110111101111000000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000011000100 00000011111111111111100000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000011001000 00111100000000001111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000011001100 00110100000000001111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000011010000 00111100000000011111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000011010100 00110100001000011111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000011010100 00110100001000011111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000011011000 00111100000000101111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000011011100 00110100010000101111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000011011100 00110100010000101111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000011100000 00111100000000111111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000011100100 00110100011000111111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000011100100 00110100011000111111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000011101000 00111100000001001111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000011101100 00110100100001001111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000011101100 00110100100001001111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000011110000 00111100000001011111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000011110100 00110100101001011111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000011110100 00110100101001011111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000011111000 00111100000001101111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000011111100 00110100110001101111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000011111100 00110100110001101111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000100000000 00111100000001111111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000100000100 00110100111001111111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000100000100 00110100111001111111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000100001000 00111100000010001111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000100001100 00110101000010001111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000100001100 00110101000010001111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000100010000 00111100000010011111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000100010100 00110101001010011111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000100010100 00110101001010011111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000100011000 00111100000010101111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000100011100 00110101010010101111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000100011100 00110101010010101111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000100100000 00111100000010111111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000100100100 00110101011010111111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000100100100 00110101011010111111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000100101000 00111100000011001111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000100101100 00110101100011001111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000100101100 00110101100011001111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000100110000 00111100000011011111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000100110100 00110101101011011111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000100110100 00110101101011011111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000100111000 00111100000011101111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000100111100 00110101110011101111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000100111100 00110101110011101111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000101000000 00111100000011111111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000101000100 00110101111011111111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000101000100 00110101111011111111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000101001000 00111100000100001111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000101001100 00110110000100001111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000101001100 00110110000100001111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000101010000 00111100000100011111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000101010100 00110110001100011111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000101010100 00110110001100011111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000101011000 00111100000100101111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000101011100 00110110010100101111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000101011100 00110110010100101111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000101100000 00111100000100111111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000101100100 00110110011100111111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000101100100 00110110011100111111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000101101000 00111100000101001111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000101101100 00110110100101001111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000101101100 00110110100101001111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000101110000 00111100000101011111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000101110100 00110110101101011111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000101110100 00110110101101011111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000101111000 00111100000101101111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000101111100 00110110110101101111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000101111100 00110110110101101111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000110000000 00111100000101111111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000110000100 00110110111101111111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000110000100 00110110111101111111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000110001000 00111100000110001111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000110001100 00110111000110001111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000110001100 00110111000110001111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000110010000 00111100000110011111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000110010100 00110111001110011111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000110010100 00110111001110011111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000110011000 00111100000110101111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000110011100 00110111010110101111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000110011100 00110111010110101111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000110100000 00111100000110111111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000110100100 00110111011110111111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000110100100 00110111011110111111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000110101000 00111100000111001111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000110101100 00110111100111001111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000110101100 00110111100111001111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000110110000 00111100000111011111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000110110100 00110111101111011111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000110110100 00110111101111011111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000110111000 00111100000111101111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000110111100 00110111110111101111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000110111100 00110111110111101111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000111000000 00111100000111111111111111111111 1
1 0 0 0 1 00000000000000001111111111111111 00000000000000000000000000000000 00000000000000000000000111000100 00110111111111111111111111111111 1
1 0 0 0 0 11111111111111110000000000000000 00000000000000000000000000000000 00000000000000000000000111000100 00110111111111111111111111111111 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000000111001000 00111100000000010000000000000001 1
1 0 0 0 1 00000000000000000000000000000001 11111111111111111111111111111111 00000000000000000000000111001100 00110100001000010000011111010000 1
1 0 0 0 0 00000000000000010000000000000000 11111111111111111111111111111111 00000000000000000000000111001100 00110100001000010000011111010000 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000111010000 00000000000000000000000000100100 1
1 0 0 0 0 00000000000000010000011111010000 00000000000000000000000000000000 00000000000000000000000111010100 10101100001000000000000000000000 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000111011000 00111100000000000000000000000000 1
1 0 1 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000111011100 00110100000000000000000000000000 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000111011100 00110100000000000000000000000000 1
1 0 0 0 0 11111111111111111111111111111111 11111111111111111111111111111111 00000000000000000000000111100000 00000000010000100001000000100100 1
1 0 0 0 1 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000000111100100 10101100001000100000000000000100 1
1 0 0 0 0 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000000111100100 10101100001000100000000000000100 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000000111101000 00111100000000100000000000000000 1
1 0 1 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000000111101100 00110100010000100000000000000000 1
1 0 0 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000000111101100 00110100010000100000000000000000 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000000111101100 00110100010000100000000000000000 1
1 0 0 0 0 11111111111111111111111111111111 11111111111111111111111111111111 00000000000000000000000111110000 00000000011000110001100000100100 1
1 0 0 0 1 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000000111110100 10101100001000110000000000001000 1
1 0 0 0 0 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000000111110100 10101100001000110000000000001000 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000000111111000 00111100000000110000000000000000 1
1 0 1 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000000111111100 00110100011000110000000000000000 1
1 0 0 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000000111111100 00110100011000110000000000000000 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000000111111100 00110100011000110000000000000000 1
1 0 0 0 0 11111111111111111111111111111111 11111111111111111111111111111111 00000000000000000000001000000000 00000000100001000010000000100100 1
1 0 0 0 1 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000001000000100 10101100001001000000000000001100 1
1 0 0 0 0 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000001000000100 10101100001001000000000000001100 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001000001000 00111100000001000000000000000000 1
1 0 1 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001000001100 00110100100001000000000000000000 1
1 0 0 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001000001100 00110100100001000000000000000000 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001000001100 00110100100001000000000000000000 1
1 0 0 0 0 11111111111111111111111111111111 11111111111111111111111111111111 00000000000000000000001000010000 00000000101001010010100000100100 1
1 0 0 0 1 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000001000010100 10101100001001010000000000010000 1
1 0 0 0 0 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000001000010100 10101100001001010000000000010000 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001000011000 00111100000001010000000000000000 1
1 0 1 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001000011100 00110100101001010000000000000000 1
1 0 0 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001000011100 00110100101001010000000000000000 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001000011100 00110100101001010000000000000000 1
1 0 0 0 0 11111111111111111111111111111111 11111111111111111111111111111111 00000000000000000000001000100000 00000000110001100011000000100100 1
1 0 0 0 1 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000001000100100 10101100001001100000000000010100 1
1 0 0 0 0 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000001000100100 10101100001001100000000000010100 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001000101000 00111100000001100000000000000000 1
1 0 1 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001000101100 00110100110001100000000000000000 1
1 0 0 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001000101100 00110100110001100000000000000000 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001000101100 00110100110001100000000000000000 1
1 0 0 0 0 11111111111111111111111111111111 11111111111111111111111111111111 00000000000000000000001000110000 00000000111001110011100000100100 1
1 0 0 0 1 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000001000110100 10101100001001110000000000011000 1
1 0 0 0 0 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000001000110100 10101100001001110000000000011000 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001000111000 00111100000001110000000000000000 1
1 0 1 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001000111100 00110100111001110000000000000000 1
1 0 0 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001000111100 00110100111001110000000000000000 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001000111100 00110100111001110000000000000000 1
1 0 0 0 0 11111111111111111111111111111111 11111111111111111111111111111111 00000000000000000000001001000000 00000001000010000100000000100100 1
1 0 0 0 1 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000001001000100 10101100001010000000000000011100 1
1 0 0 0 0 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000001001000100 10101100001010000000000000011100 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001001001000 00111100000010000000000000000000 1
1 0 1 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001001001100 00110101000010000000000000000000 1
1 0 0 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001001001100 00110101000010000000000000000000 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001001001100 00110101000010000000000000000000 1
1 0 0 0 0 11111111111111111111111111111111 11111111111111111111111111111111 00000000000000000000001001010000 00000001001010010100100000100100 1
1 0 0 0 1 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000001001010100 10101100001010010000000000100000 1
1 0 0 0 0 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000001001010100 10101100001010010000000000100000 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001001011000 00111100000010010000000000000000 1
1 0 1 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001001011100 00110101001010010000000000000000 1
1 0 0 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001001011100 00110101001010010000000000000000 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001001011100 00110101001010010000000000000000 1
1 0 0 0 0 11111111111111111111111111111111 11111111111111111111111111111111 00000000000000000000001001100000 00000001010010100101000000100100 1
1 0 0 0 1 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000001001100100 10101100001010100000000000100100 1
1 0 0 0 0 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000001001100100 10101100001010100000000000100100 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001001101000 00111100000010100000000000000000 1
1 0 1 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001001101100 00110101010010100000000000000000 1
1 0 0 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001001101100 00110101010010100000000000000000 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001001101100 00110101010010100000000000000000 1
1 0 0 0 0 11111111111111111111111111111111 11111111111111111111111111111111 00000000000000000000001001110000 00000001011010110101100000100100 1
1 0 0 0 1 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000001001110100 10101100001010110000000000101000 1
1 0 0 0 0 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000001001110100 10101100001010110000000000101000 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001001111000 00111100000010110000000000000000 1
1 0 1 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001001111100 00110101011010110000000000000000 1
1 0 0 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001001111100 00110101011010110000000000000000 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001001111100 00110101011010110000000000000000 1
1 0 0 0 0 11111111111111111111111111111111 11111111111111111111111111111111 00000000000000000000001010000000 00000001100011000110000000100100 1
1 0 0 0 1 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000001010000100 10101100001011000000000000101100 1
1 0 0 0 0 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000001010000100 10101100001011000000000000101100 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001010001000 00111100000011000000000000000000 1
1 0 1 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001010001100 00110101100011000000000000000000 1
1 0 0 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001010001100 00110101100011000000000000000000 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001010001100 00110101100011000000000000000000 1
1 0 0 0 0 11111111111111111111111111111111 11111111111111111111111111111111 00000000000000000000001010010000 00000001101011010110100000100100 1
1 0 0 0 1 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000001010010100 10101100001011010000000000110000 1
1 0 0 0 0 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000001010010100 10101100001011010000000000110000 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001010011000 00111100000011010000000000000000 1
1 0 1 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001010011100 00110101101011010000000000000000 1
1 0 0 0 1 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001010011100 00110101101011010000000000000000 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001010011100 00110101101011010000000000000000 1
1 0 0 0 0 11111111111111111111111111111111 11111111111111111111111111111111 00000000000000000000001010100000 00000001110011100111000000100100 1
1 0 0 0 1 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000001010100100 10101100001011100000000000110100 1
1 0 0 0 0 00000000000000010000011111010000 11111111111111111111111111111111 00000000000000000000001010100100 10101100001011100000000000110100 1
1 0 0 0 0 00000000000000000000000000000000 11111111111111111111111111111111 00000000000000000000001010101000 00111100000011100000000000000000 1
